title,price,Name:,Yacht Type:,"Series, Model, Class:",Builder:,Length Overall:,Length at Waterline:,Beam:,Max Draught:,Gross Tonnage:,Displacement Tonnage:,Year of Build:,Hull Type:,Number of Decks:,Classification:,Max Speed:,Cruising Speed:,Fuel Capacity:,Range:,V1,Engine Make:,Total power:,Hull:,Superstructure:,Deck:,Guests:,Passenger Rooms:,Master Rooms:,Double Rooms: ,Twin Rooms:,Yacht Subtype:,Interior Designer:,Refits:,Hull Number:,Water Capacity:,Naval Architect:,Exterior Designer:,VIP Rooms:,Build time:
COCA VI for sale,"€995,000",COCA VI,Motor Yacht,26 MY,Leopard Yachts ,26.8  metres,20.86  metres,6.05  metres,2.34  metres,92,63,2000,Deep V / Planing,2,BV,27  kn,20  kn,8500  litres,300  nm,@ 25  kn,MTU ,3600hp ,GRP,GRP,Teak,6,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
COCA VI for sale,VAT paid,COCA VI,Motor Yacht,26 MY,Leopard Yachts ,26.8  metres,20.86  metres,6.05  metres,2.34  metres,92,63,2000,Deep V / Planing,2,BV,27  kn,20  kn,8500  litres,300  nm,@ 25  kn,MTU ,3600hp ,GRP,GRP,Teak,6,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUSTANG for sale,"$1,495,000",MUSTANG,Sail Yacht,Nicholson 83,Camper & Nicholsons ,25.3  metres,21.88  metres,6.25  metres,2.68  metres,106,50,1987,Monohull,NA,NA,9.5  kn,8.5  kn,3600  litres,NA,NA,NA,NA,GRP,GRP,Teak,6,3,1,1,1,Classic Yacht ,Doug Peterson ,"2001-01-01,2005-01-01",1986,3200  litres,NA,NA,NA,NA
SEAS THE DAY for sale,"$6,275,000",SEAS THE DAY,Motor Yacht,101,Hargrave Custom Yachts ,30.78  metres,NA,6.4  metres,1.72  metres,158,NA,2016,Deep V / Planing,2,NA,23  kn,20  kn,12113  litres,1000  nm,@ 10  kn,Caterpillar ,3352hp ,GRP,GRP,"GRP,Teak",8,NA,NA,NA,NA,NA,NA,NA,675,NA,NA,NA,NA,NA
MRS L for sale,"$17,950,000",MRS L,Motor Yacht,NA,Mondomarine ,50.8  metres,NA,9.3  metres,2.6  metres,499,NA,2009,Semi Displacement,3,NA,16  kn,14  kn,85000  litres,4000  nm,@ 12  kn,MTU ,4960hp ,Steel,Aluminium,Teak,10,5,1,2,2,NA,NA,"2021-01-01, 2009-01-01 ",56,16000  litres,NA,NA,NA,NA
DINAIA for sale,"€7,450,000",DINAIA,Motor Yacht,SL 106,Sanlorenzo ,32.2  metres,27  metres,7.01  metres,2.13  metres,199,125,2018,Deep V / Planing,2,RINA,31  kn,24  kn,8300  litres,1406  nm,@ 11  kn,MTU ,4868hp ,Fiberglass,GRP,Teak,10,5,NA,2,NA,Planing Fast Yacht ,Francesco Paszkowski Design ,NA,654,2800  litres,Sanlorenzo ,Francesco Paszkowski Design ,NA,NA
OCEAN PURE 2 for sale,"€4,900,000",OCEAN PURE 2,Sail Yacht,Mirabella 40,Concorde ,40.01  metres,35.5  metres,9.1  metres,3.9  metres,225,198,1992,Monohull,NA,NA,13  kn,10  kn,15800  litres,2500  nm,@ 8  kn,Yanmar ,500hp ,GRP,GRP,Teak,11,5,1,2,2,NA,NA,"2009-01-01,2005-01-01,2002-01-01,2019-12-01",2,4400  litres,NA,Farr Yacht Design ,NA,NA
OCEAN PURE 2 for sale,VAT paid,OCEAN PURE 2,Sail Yacht,Mirabella 40,Concorde ,40.01  metres,35.5  metres,9.1  metres,3.9  metres,225,198,1992,Monohull,NA,NA,13  kn,10  kn,15800  litres,2500  nm,@ 8  kn,Yanmar ,500hp ,GRP,GRP,Teak,11,5,1,2,2,NA,NA,"2009-01-01,2005-01-01,2002-01-01,2019-12-01",2,4400  litres,NA,Farr Yacht Design ,NA,NA
LEONIDA 2 for sale,NA,LEONIDA 2,Motor Yacht,86,Falcon Yachts ,26.1  metres,NA,6.35  metres,1.95  metres,138,70,2009,Deep V / Planing,2,NA,30  kn,24  kn,8500  litres,400  nm,@ 22  kn,MTU ,3600hp ,GRP,GRP,Teak,10,4,1,NA,2,NA,NA,NA,NA,1600  litres,NA,NA,1,NA
WAY OF LIFE for sale,"€1,200,000",WAY OF LIFE,Sail Yacht,NA,McConaghy Boats ,26.6  metres,NA,4.75  metres,2.2  metres,NA,NA,2003,Monohull,NA,NA,NA,NA,NA,NA,NA,NA,NA,Composite,Composite,Composite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
